,New Tokens,Chunk Size,Codes Generated,Percentage of Text Covered,Time (Seconds),User Prompt,Batch Size
0,0,512,26,40.76241431198796,136.19725947799998,,6
1,0,512,29,39.60040127069052,138.40094905600017,,6
31,0,512,26,40.76241431198796,139.1785267680002,,1
2,0,1024,12,17.605751546564118,60.19549247699979,,6
3,0,1024,12,17.605751546564118,61.83230198700039,,6
32,0,1024,12,17.605751546564118,62.309657888999936,,1
4,0,2048,7,11.8625647884969,38.73004115899949,,6
5,0,2048,7,11.8625647884969,39.039373505000185,,6
33,0,2048,7,11.862564788496908,39.580289829999856,,1
6,0,4096,7,6.437050660424671,19.51568742400013,,6
7,0,4096,7,6.671125229894661,19.84173987600116,,6
34,0,4096,7,6.437050660424679,19.74836739400007,,1
8,256,256,83,83.11319177395085,347.879629209001,,6
9,256,512,27,42.47617455275038,137.92481331599993,,6
10,256,512,30,41.31416151145293,137.54624816400064,,6
35,256,512,29,39.60040127069052,139.61699025100006,,1
11,256,1024,12,17.605751546564118,60.65440050399957,,6
12,256,1024,12,17.605751546564118,61.467461328000354,,6
36,256,1024,12,17.605751546564118,61.79665872199985,,1
13,256,2048,7,11.8625647884969,38.6771811639992,,6
14,256,2048,7,11.8625647884969,38.95050863999859,,6
37,256,2048,7,11.862564788496908,39.19357703999958,,1
15,256,4096,7,6.437050660424671,19.42446770900005,,6
16,256,4096,7,6.437050660424671,19.53552622300049,,6
38,256,4096,7,6.437050660424679,19.499080711999795,,1
17,512,256,112,105.55927102491223,683.1000034260014,,6
18,512,1024,22,40.954689851195454,116.43712182800029,,6
19,512,1024,22,40.954689851195454,117.18908210300106,,6
39,512,1024,22,40.954689851195454,120.399630076,,1
20,512,2048,12,27.72947667614111,79.39154218000022,,6
21,512,2048,12,27.72947667614111,79.2595983379997,,6
40,512,2048,12,27.72947667614111,80.9379442190002,,1
22,512,4096,11,12.63166694532687,41.922418999999536,,6
23,512,4096,11,12.63166694532687,41.130432494999695,,6
41,512,4096,11,12.63166694532687,42.43272982400049,,1
24,1024,512,63,97.29978264504264,536.6078950760002,,6
42,1024,512,69,92.86072563116535,549.2827366109996,,1
25,1024,1024,34,75.46396923591374,229.7216317809998,,6
26,1024,1024,34,73.51613442568133,229.5596814420005,,6
43,1024,1024,34,79.05868583848856,237.843201787,,1
27,1024,2048,19,53.452599899682326,154.9292373039998,,6
28,1024,2048,19,53.452599899682326,153.69737402200008,,6
44,1024,2048,19,53.452599899682326,157.78273367900056,,1
29,1024,4096,17,23.700050158836312,78.80958314199961,,6
30,1024,4096,17,23.700050158836312,79.09947866200127,,6
45,1024,4096,17,23.700050158836312,80.13633117200061,,1
